Date : 2022-03-13 17:37:53
Directory : c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind
Total : 68 files,  30381 codes, 64 comments, 316 blanks, all 30761 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonOverview\PersonOverview.jsx                   | JavaScript |         33 |          0 |          1 |         34 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonPage.jsx                                      | JavaScript |        112 |          0 |         12 |        124 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonProductionInfo\PersonProductionInfo.jsx       | JavaScript |         30 |          0 |          3 |         33 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularMoviesList\MoviePoster\MoviePoster.jsx                  | JavaScript |         14 |          0 |          4 |         18 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularMoviesList\PopularMoviesList.jsx                        | JavaScript |         75 |          0 |          5 |         80 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularTVShows\PopularTVShows.jsx                              | JavaScript |         74 |          0 |          6 |         80 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\Rankings.jsx                                          | JavaScript |        152 |          0 |         15 |        167 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\RankingsInterface\RankingsInterface.jsx               | JavaScript |        224 |          0 |         10 |        234 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\RankingsProduction\RankingsProduction.jsx             | JavaScript |        124 |          1 |         15 |        140 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SearchResults\SearchResults.jsx                                | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SearchingResults\SearchingResults.jsx                          | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\BigSearchBar\BigSearchBar.jsx                     | JavaScript |         18 |          0 |          3 |         21 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\CommunityOverview\CommunityOverview.jsx           | JavaScript |         19 |          0 |          2 |         21 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\DataOverview\DataOverview.jsx                     | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\SiteOverview.jsx                                  | JavaScript |         26 |          0 |          2 |         28 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\tmdb.svg                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\constants.js                                                                   | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\index.css                                                                      | CSS        |         45 |         37 |         12 |         94 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\index.js                                                                       | JavaScript |         33 |          0 |          2 |         35 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\tailwind.config.js                                                                 | JavaScript |         42 |          0 |          2 |         44 |
| Total                                                                                                                                         |            |     30,381 |         64 |        316 |     30,761 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
